"title","link","phone","address"
"All Saints (St. Peters)","https://www.archstl.org/parish-directory/all-saints-st-peters","636.397.1440","7 McMenamy Rd., St. Peters, MO 63376-1590"
"All Saints (University City)","https://www.archstl.org/parish-directory/all-saints-university-city","314.721.6403","6403 Clemens Ave., St. Louis, MO 63130-3497"
"All Souls (Overland)","https://www.archstl.org/parish-directory/all-souls-overland","314.427.0442","9550 Tennyson Ave., St. Louis, MO 63114-3399"
"Annunciation (Webster Groves)","https://www.archstl.org/parish-directory/annunciation-webster-groves","314.962.5955","12 W. Glendale Rd., Webster Groves, MO 63119-4097"
"Annunziata, Church of the (Ladue)","https://www.archstl.org/parish-directory/annunziata-church-of-the-ladue","314.993.4422","9305 Clayton Rd., St. Louis, MO 63124-1692"
"Ascension (Chesterfield)","https://www.archstl.org/parish-directory/ascension-chesterfield","636.532.3304","230 Santa Maria Dr., Chesterfield, MO 63005-1600"
"Assumption (Mattese)","https://www.archstl.org/parish-directory/assumption-mattese","314.487.7970","4725 Mattis Rd., St. Louis, MO 63128-2821"
"Assumption (New Haven)","https://www.archstl.org/parish-directory/assumption-new-haven","573.237.3372","603 Miller St., New Haven, MO 63068-1116"
"Assumption (O'Fallon)","https://www.archstl.org/parish-directory/assumption-ofallon","636.240.3721","403 N. Main St., O'Fallon, MO 63366-2205"
"Basilica of St. Louis, King of France","https://www.archstl.org/parish-directory/basilica-of-st-louis-king-of-france","314.231.3250","209 Walnut St., St. Louis, MO 63102-2499"
"Blessed Teresa of Calcutta (Ferguson)","https://www.archstl.org/parish-directory/blessed-teresa-of-calcutta-ferguson","314.524.0500","120 N. Elizabeth Ave, St. Louis, MO 63135-1346"
"Cathedral Basilica of Saint Louis","https://www.archstl.org/parish-directory/cathedral-basilica-of-saint-louis","314.373.8200","4431 Lindell Blvd., St. Louis, MO 63108-2496"
"Christ the King (University City)","https://www.archstl.org/parish-directory/christ-the-king-university-city","314.721.8737","7316 Balson Ave., St. Louis, MO 63130-2999"
"Christ the Savior (Brewer)","https://www.archstl.org/parish-directory/christ-the-savior-brewer","573.547.4591","57 Shady Ln., Perryville, MO 63775-7386"
"Christ, Prince of Peace (Manchester)","https://www.archstl.org/parish-directory/christ-prince-of-peace-manchester","636.391.1307","415 Weidman Rd., Manchester, MO 63011-4431"
"Curé of Ars (Shrewsbury)","https://www.archstl.org/parish-directory/cur-of-ars-shrewsbury","314.962.5883","670 S. Laclede Station Rd., St. Louis, MO 63119-4910"
"Epiphany of Our Lord (St. Louis)","https://www.archstl.org/parish-directory/epiphany-of-our-lord-st-louis","314.781.1199","6596 Smiley Ave., St. Louis, MO 63139-2487"
"Good Shepherd, Church of the (Hillsboro)","https://www.archstl.org/parish-directory/good-shepherd-church-of-the-hillsboro","636.789.3356","703 Third St., Hillsboro, MO 63050-4342"
"Holy Family (Port Hudson)","https://www.archstl.org/parish-directory/holy-family-port-hudson","573.459.6441","124 Holy Family Church Rd., New Haven, MO 63068-2664"
"Holy Infant (Ballwin)","https://www.archstl.org/parish-directory/holy-infant-ballwin","636.227.7440","627 Dennison Dr., Ballwin, MO 63021-4898"
"Holy Martyrs of Japan, Church of the (Japan)","https://www.archstl.org/parish-directory/holy-martyrs-of-japan-church-of-the-japan","573.627.3378","8244 Highway AE, Sullivan, MO 63080-3229"
"Holy Name of Jesus (Bissell Hills)","https://www.archstl.org/parish-directory/holy-name-of-jesus-bissell-hills","314.868.2310","10235 Ashbrook Dr., St. Louis, MO 63137-1598"
